Nom,Note,Avis,Ville,Pays,Population ville,Population et périphérie
Burgers & Wine,4,41,Helsinki,Finlande,674.500,674.500
Minato Sushi,5,36,Helsinki,Finlande,656.920,656.920
Fulbari,5,208,Helsinki,Finlande,656.920,656.920
Restaurant & Bar Lia,5,93,Helsinki,Finlande,674.500,674.500
Gastro Hub,5,403,Helsinki,Finlande,674.500,674.500
Ravintola Rioni,5,434,Helsinki,Finlande,674.500,674.500
Gran Delicato,5,280,Helsinki,Finlande,674.500,674.500
Spis,5,288,Helsinki,Finlande,674.500,674.500
Baskeri & Basso,5,321,Helsinki,Finlande,674.500,674.500
Levant Boulevard,5,343,Helsinki,Finlande,674.500,674.500
Olo  Ravintola,5,807,Helsinki,Finlande,674.500,674.500
Finlandia Caviar,5,309,Helsinki,Finlande,674.500,674.500
Vinkkeli,5,276,Helsinki,Finlande,674.500,674.500
Natura,5,285,Helsinki,Finlande,674.500,674.500
Ravintola Kuu,5,1116,Helsinki,Finlande,674.500,674.500
Finnjavel Salonki,5,429,Helsinki,Finlande,674.500,674.500
Ravintola Everest Katajanokka,4,396,Helsinki,Finlande,674.500,674.500
Pompier Espa,5,351,Helsinki,Finlande,674.500,674.500
Ravintola Ragu,5,952,Helsinki,Finlande,674.500,674.500
BLINIt Russian Restaurant,5,676,Helsinki,Finlande,674.500,674.500
Nokka,5,632,Helsinki,Finlande,674.500,674.500
Restaurant Muru,4,681,Helsinki,Finlande,674.500,674.500
Ravintola Nerone,4,643,Helsinki,Finlande,674.500,674.500
Passio Keittio Ja Baari,5,975,Helsinki,Finlande,674.500,674.500
Ravintola KuuKuu,4,371,Helsinki,Finlande,674.500,674.500
Konstan Möljä,4,1059,Helsinki,Finlande,674.500,674.500
HOKU,5,396,Helsinki,Finlande,656.920,656.920
Restaurant Savoy,4,516,Helsinki,Finlande,674.500,674.500
Restaurant Kannas,4,554,Helsinki,Finlande,674.500,674.500
Shelter,5,300,Helsinki,Finlande,656.920,656.920
Restaurant Savotta,4,1408,Helsinki,Finlande,674.500,674.500
Kuurna,5,322,Helsinki,Finlande,656.920,656.920
The View 3912,5,1028,Pekin,Chine,21.893.095,18.522.000
Choy's Seafood Restaurant,5,616,Pekin,Chine,21.893.095,18.522.000
Cafe Cha - Shangri-La Beijing,5,440,Pekin,Chine,21.893.095,18.522.000
Asia Bistro,5,386,Pekin,Chine,21.893.095,18.522.000
The Lounge (The Ritz-Carlton Beijing),5,385,Pekin,Chine,21.893.095,18.522.000
F Bistronome - Fb,5,946,Pekin,Chine,21.893.095,18.522.000
BLD (Renaissance Beijing Capital Hotel),5,471,Pekin,Chine,21.893.095,18.522.000
Wan Li (Renaissance Beijing Wangfujing Hotel),5,640,Pekin,Chine,21.893.095,18.522.000
IL RISTORANTE - NIKO ROMITO,5,508,Pekin,Chine,21.893.095,18.522.000
King's Joy,5,1544,Pekin,Chine,21.893.095,18.522.000
AZUR by Mauro Colagreco,5,237,Pekin,Chine,21.893.095,18.522.000
Lobby Lounge (Renaissance Beijing Wangfujing Hotel),5,273,Pekin,Chine,21.893.095,18.522.000
Food Studio (Renaissance Beijing Wangfujing Hotel),5,313,Pekin,Chine,21.893.095,18.522.000
Steak House (Macau Center),5,248,Pekin,Chine,21.893.095,18.522.000
Trb Hutong,5,2194,Pekin,Chine,21.893.095,18.522.000
Black Sesame Kitchen,5,956,Pekin,Chine,21.893.095,18.522.000
Maison FLO,5,540,Pekin,Chine,21.893.095,18.522.000
The Horizon (Beijing Kerry Hotel),5,382,Pekin,Chine,21.893.095,18.522.000
N'Joy All-Day Dining (NUO Hotel Beijing),5,238,Pekin,Chine,21.893.095,18.522.000
Beersmith Gastropub,5,202,Pekin,Chine,21.893.095,18.522.000
BeiJing Haidilao Hot Pot (Wangfujing),5,638,Pekin,Chine,21.893.095,18.522.000
BLEU MARINE,5,255,Pekin,Chine,21.893.095,18.522.000
Din Tai Fung (APM),5,295,Pekin,Chine,21.893.095,18.522.000
Fratelli Fresh,5,337,Pekin,Chine,21.893.095,18.522.000
Din Tai Fung (Yuyang),5,582,Pekin,Chine,21.893.095,18.522.000
Little Yunnan,5,458,Pekin,Chine,21.893.095,18.522.000
Peacock Alley (Waldorf Astoria Beijing),5,148,Pekin,Chine,21.893.095,18.522.000
Siji Minfu Restaurant Peking Roast Duck (Dengshikou),4,1232,Pekin,Chine,21.893.095,18.522.000
The Garden Chinese Restaurant,5,218,Pekin,Chine,21.893.095,18.522.000
Jingzun Peking Duck Restaurant,5,304,Pekin,Chine,21.893.095,18.522.000
Water's Edge Restaurant Canberra,4,661,Canberra,Australie,466.566,466.566
Spice Affair Indian Cuisine,5,519,Canberra,Australie,466.566,466.566
Delhi to Canberra,5,233,Canberra,Australie,466.566,466.566
Table Canberra,5,207,Canberra,Australie,453.558,453.558
Olive at Hawker,5,298,Canberra,Australie,466.566,466.566
Les Bistronomes,5,820,Canberra,Australie,466.566,466.566
Sage,5,1307,Canberra,Australie,453.558,453.558
Lanterne Rooms,5,751,Canberra,Australie,466.566,466.566
Pomegranate,5,800,Canberra,Australie,466.566,466.566
Raku,5,624,Canberra,Australie,466.566,466.566
Akiba,5,1768,Canberra,Australie,466.566,466.566
Banana Leaf,4,403,Canberra,Australie,466.566,466.566
Courgette Restaurant,5,1191,Canberra,Australie,466.566,466.566
Chairman & Yip,4,674,Canberra,Australie,466.566,466.566
Pho Phu Quoc Vietnamese Restaurant,4,470,Canberra,Australie,466.566,466.566
Jewel of India,4,386,Canberra,Australie,466.566,466.566
OTIS Dining Hall,4,445,Canberra,Australie,466.566,466.566
Trevs At Dickson,4,310,Canberra,Australie,466.566,466.566
Black Fire,4,955,Canberra,Australie,466.566,466.566
Rubicon,4,369,Canberra,Australie,466.566,466.566
The Boat House,4,317,Canberra,Australie,466.566,466.566
Saffron Mezze House,4,362,Canberra,Australie,466.566,466.566
The Cupping Room,4,902,Canberra,Australie,466.566,466.566
Kinn Thai Restaurant,4,609,Canberra,Australie,466.566,466.566
Agostinis Italian Restaurant,4,464,Canberra,Australie,466.566,466.566
Abell's Kopi Tiam,4,281,Canberra,Australie,466.566,466.566
Ramas Fiji Indian Restaurant,5,280,Canberra,Australie,466.566,466.566
Penny University,4,440,Canberra,Australie,466.566,466.566
Marble & Grain,4,1035,Canberra,Australie,466.566,466.566
Inka Restaurant,4,192,Canberra,Australie,466.566,466.566
The Rooms Restaurant,5,909,Tirana,Albanie,418.495,418.495
Restaurant Le Jardin Elysée,5,9,Tirana,Albanie,557.422,557.422
Restaurant Metropol,5,167,Tirana,Albanie,418.495,418.495
Balbi 35,5,131,Tirana,Albanie,418.495,418.495
Ujvara Resto Lounge & Gourmet,5,754,Tirana,Albanie,418.495,418.495
Kantina Binjaket Winery Binjaket,5,343,Tirana,Albanie,418.495,418.495
Smoke House Bar & Grill,5,555,Tirana,Albanie,418.495,418.495
Hame Restaurant  ,5,23,Tirana,Albanie,557.422,557.422
Kripe Dhe Piper,5,1425,Tirana,Albanie,418.495,418.495
Spicy Restaurant,5,112,Tirana,Albanie,557.422,557.422
Begati Restaurant,5,168,Tirana,Albanie,418.495,418.495
Floga,5,701,Tirana,Albanie,418.495,418.495
Hayal Et,5,320,Tirana,Albanie,418.495,418.495
Lakror'Ane,5,119,Tirana,Albanie,418.495,418.495
Zgara King Pils,5,126,Tirana,Albanie,418.495,418.495
Berlin Restaurant by Kosherja,5,285,Tirana,Albanie,418.495,418.495
Era Blloku,5,1599,Tirana,Albanie,418.495,418.495
Seasoul Restaurant,5,220,Tirana,Albanie,418.495,418.495
Shendevere Restaurant,4,234,Tirana,Albanie,418.495,418.495
The Crown Tirana Restaurant & Bar,5,536,Tirana,Albanie,418.495,418.495
Oxhaket,5,487,Tirana,Albanie,418.495,418.495
Delibros,5,163,Tirana,Albanie,418.495,418.495
Le Bazal,5,172,Tirana,Albanie,418.495,418.495
Restorant Tymi,5,919,Tirana,Albanie,557.422,557.422
Delicatezze Di Mare Da Aldo,5,792,Tirana,Albanie,557.422,557.422
Otium Restaurant,5,700,Tirana,Albanie,557.422,557.422
Tony's American Restaurant & Coffee Shop,5,192,Tirana,Albanie,557.422,557.422
Lift Steak & Rooftop Bar,5,214,Tirana,Albanie,557.422,557.422
La Gioia Tirane,5,1508,Tirana,Albanie,418.495,418.495
Shije Fshati Restaurant,5,189,Tirana,Albanie,557.422,557.422
Tartuf Shop Restaurant,5,533,Tirana,Albanie,418.495,418.495
Era Vila,5,2402,Tirana,Albanie,418.495,418.495
Gzona,5,268,Tirana,Albanie,418.495,418.495
Pizzeria Arrivederci,5,5387,Paris,France,2.133.111,10.890.751
Il Etait Un Square,5,4403,Paris,France,2.102.650,10.858.852
Da Giuseppe,5,1063,Paris,France,2.133.111,10.890.751
Pizzamore Paris,5,1768,Paris,France,2.133.111,10.890.751
Assanabel Republic - Marsh,5,1408,Paris,France,2.133.111,10.890.751
Nectar,5,905,Paris,France,2.133.111,10.890.751
Boutary Restaurant,5,1877,Paris,France,2.102.650,10.858.852
L'Angélus Du Canal,5,241,Paris,France,2.133.111,10.890.751
Nell'Arte,5,622,Paris,France,2.133.111,10.890.751
Bistrot Instinct,5,688,Paris,France,2.133.111,10.890.751
Al Assil,5,100,Paris,France,2.102.650,10.858.852
Pastamore,5,3198,Paris,France,2.133.111,10.890.751
Le Maxan Restaurant,5,624,Paris,France,2.133.111,10.890.751
Akabeko Restaurant,5,182,Paris,France,2.102.650,10.858.852
Petit Boutary,5,772,Paris,France,2.133.111,10.890.751
Bistrot L'olivier,5,1238,Paris,France,2.133.111,10.890.751
Alix et Mika - Tartares sur mesure,5,1107,Paris,France,2.133.111,10.890.751
Origini - Ristorante Italiano,5,387,Paris,France,2.133.111,10.890.751
Bistrot Kinzo,5,294,Paris,France,2.133.111,10.890.751
Pur' - Jean-François Rouquette,5,1363,Paris,France,2.102.650,10.858.852
Comptoir Gourmet,5,1336,Paris,France,2.133.111,10.890.751
Le Bayadère,5,114,Paris,France,2.102.650,10.858.852
Au P'tit Curieux,5,863,Paris,France,2.102.650,10.858.852
L'Atelier Ramey,5,794,Paris,France,2.102.650,10.858.852
B.Better,5,240,Paris,France,2.133.111,10.890.751
Perception,5,235,Paris,France,2.102.650,10.858.852
Madito,5,435,Paris,France,2.133.111,10.890.751
Poni,5,646,Paris,France,2.102.650,10.858.852
Bus Toqué,5,1239,Paris,France,2.102.650,10.858.852
Perlimpinpin,5,889,Paris,France,2.133.111,10.890.751
O'milionario Pizza E Fritti,4,67,Rome,Italie,2.759.629,460.000
Domo Sushi,4,2261,Rome,Italie,2.759.629,460.000
DOC EnoBistrot - Cruderia & Cucina,5,1758,Rome,Italie,2.755.309,460.000
Lume - Osteria Alle Scalette,5,305,Rome,Italie,2.755.309,460.000
Ristorante Ai Cocci,5,1599,Rome,Italie,2.755.309,460.000
I Vaccinari,5,795,Rome,Italie,2.759.629,460.000
Ristorante Arlù,5,3808,Rome,Italie,2.755.309,460.000
Sospiro Trastevere,5,817,Rome,Italie,2.755.309,460.000
Bono Bottega Nostrana - San Pietro,5,2035,Rome,Italie,2.755.309,460.000
La Fata Ignorante - Rooftop Restaurant & Bar,5,7092,Rome,Italie,2.755.309,460.000
Tonnarello San Pietro,5,1468,Rome,Italie,2.755.309,460.000
TheGusto Restaurant ,5,108,Rome,Italie,2.759.629,460.000
Sentori Vineria Di Quartiere,5,443,Rome,Italie,2.755.309,460.000
Raquel Alma Experience,5,79,Rome,Italie,2.759.629,460.000
Bo.no Bottega Nostrana - Piazza di Spagna,5,1499,Rome,Italie,2.759.629,460.000
La Nicchia Cafe,5,318,Rome,Italie,2.755.309,460.000
Dejavu Enosteria,5,354,Rome,Italie,2.759.629,460.000
Titanic Pub,5,527,Rome,Italie,2.755.309,460.000
Ristorante Leon,4,1033,Rome,Italie,2.759.629,460.000
Mimì E Cocò Trast,5,2942,Rome,Italie,2.755.309,460.000
Byblos,5,97,Rome,Italie,2.759.629,460.000
That's Amore Barbecue Boccea,5,650,Rome,Italie,2.759.629,460.000
Prefetti 19,5,1742,Rome,Italie,2.755.309,460.000
Bono Bottega Nostrana - Monti,5,1007,Rome,Italie,2.759.629,460.000
Metis,5,139,Rome,Italie,2.759.629,460.000
Arrosticinando Infernetto,5,421,Rome,Italie,2.759.629,460.000
Kisa Cuisine,5,584,Rome,Italie,2.759.629,460.000
Virginiae,5,2829,Rome,Italie,2.755.309,460.000
Bistrò Salentino,5,337,Rome,Italie,2.759.629,460.000
Lyo,5,174,Rome,Italie,2.759.629,460.000
Mastrociccia Osteria Bistrot,5,2937,Rome,Italie,2.759.629,460.000
Sistina 52,5,624,Rome,Italie,2.755.309,460.000
The Loft,5,1290,Rome,Italie,2.755.309,460.000
I Goliardi Roma,5,442,Rome,Italie,2.759.629,460.000
Bull Steak,5,1850,Rome,Italie,2.759.629,460.000
Sundari’s Kitchen,5,171,Ottawa,Canada,1.153.843,1.476.756
Aperitivo,5,540,Ottawa,Canada,1.153.843,1.476.756
Cocotte Bistro,5,267,Ottawa,Canada,1.153.843,1.476.756
1 Elgin,4,863,Ottawa,Canada,1.153.843,1.476.756
Honest Indian Restaurant,5,107,Ottawa,Canada,1.153.843,1.476.756
Hunter's Public House Restaurant,5,400,Ottawa,Canada,1.153.843,1.476.756
La Bottega Nicastro,5,567,Ottawa,Canada,1.153.843,1.476.756
Cumberland Pizza,5,412,Ottawa,Canada,1.153.843,1.476.756
Absinthe,5,987,Ottawa,Canada,1.153.843,1.476.756
Gezellig,5,1057,Ottawa,Canada,1.153.843,1.476.756
Sansotei Ramen,5,233,Ottawa,Canada,1.153.843,1.476.756
Beckta Dining & Wine,5,1663,Ottawa,Canada,1.153.843,1.476.756
The Green Door,4,442,Ottawa,Canada,1.153.843,1.476.756
Play Food & Wine,5,1893,Ottawa,Canada,1.153.843,1.476.756
Aroma Meze,5,858,Ottawa,Canada,1.153.843,1.476.756
NeXT,5,943,Ottawa,Canada,1.153.843,1.476.756
Mahal Tanjore (Previously Thanjai Ottawa) Restaurant,5,169,Ottawa,Canada,1.071.868,1.476.756
Pelican Seafood Market and Grill,4,727,Ottawa,Canada,1.153.843,1.476.756
Chez Lucien,4,503,Ottawa,Canada,1.153.843,1.476.756
Town,4,464,Ottawa,Canada,1.153.843,1.476.756
The Brig Pub,5,311,Ottawa,Canada,1.153.843,1.476.756
Coconut Lagoon,4,592,Ottawa,Canada,1.153.843,1.476.756
The Whalesbone Oyster House,4,477,Ottawa,Canada,1.153.843,1.476.756
Riviera,4,473,Ottawa,Canada,1.153.843,1.476.756
Petit Bill's Bistro,4,380,Ottawa,Canada,1.153.843,1.476.756
The Keg Steakhouse + Bar - Ottawa Market,4,768,Ottawa,Canada,1.153.843,1.476.756
Fatboys Southern Smokehouse,4,543,Ottawa,Canada,1.153.843,1.476.756
Shinka Sushi Bar,5,317,Ottawa,Canada,1.153.843,1.476.756
Sidedoor Contemporary Kitchen & Bar,4,566,Ottawa,Canada,1.153.843,1.476.756
JOEY Rideau,5,404,Ottawa,Canada,1.071.868,1.476.756
RIVO Spreeterrassen,5,42,Berlin,Allemagne,3.755.251,4.890.363
Spindler,4,342,Berlin,Allemagne,3.576.873,4.890.363
Monte Mente Restaurant,4,1,Berlin,Allemagne,3.576.873,4.890.363
Rosé Frühstücks - Café,4,1,Berlin,Allemagne,3.576.873,4.890.363
Bellucci,4,545,Berlin,Allemagne,3.755.251,4.890.363
Bantabaa,5,188,Berlin,Allemagne,3.755.251,4.890.363
Skykitchen,5,431,Berlin,Allemagne,3.755.251,4.890.363
Indisches Restaurant Maharadscha,5,1786,Berlin,Allemagne,3.755.251,4.890.363
Restaurant Facil,5,996,Berlin,Allemagne,3.755.251,4.890.363
Gasthaus Kater Alex,5,371,Berlin,Allemagne,3.755.251,4.890.363
Ristorante & Vinobar CaliBocca,5,355,Berlin,Allemagne,3.755.251,4.890.363
Kurpfalz-Weinstuben,5,688,Berlin,Allemagne,3.755.251,4.890.363
Vipan,5,183,Berlin,Allemagne,3.755.251,4.890.363
India Club,4,421,Berlin,Allemagne,3.755.251,4.890.363
Restaurant Il Nuovo Primo,4,59,Berlin,Allemagne,3.576.873,4.890.363
Sissi,4,833,Berlin,Allemagne,3.755.251,4.890.363
Vino & Basilico,4,836,Berlin,Allemagne,3.755.251,4.890.363
Hugos,5,355,Berlin,Allemagne,3.576.873,4.890.363
El Colmado,4,407,Berlin,Allemagne,3.755.251,4.890.363
Golvet,5,240,Berlin,Allemagne,3.576.873,4.890.363
FACTORY GIRL,5,611,Berlin,Allemagne,3.576.873,4.890.363
Delhi 6,4,648,Berlin,Allemagne,3.755.251,4.890.363
Evin Pizza Pasta,4,398,Berlin,Allemagne,3.755.251,4.890.363
Sticks'n'Sushi - Potsdamer Str.,4,452,Berlin,Allemagne,3.755.251,4.890.363
Pantry,4,746,Berlin,Allemagne,3.755.251,4.890.363
Rutz Restaurant - Weinbar,4,753,Berlin,Allemagne,3.755.251,4.890.363
Ristorante II Sorriso,4,638,Berlin,Allemagne,3.755.251,4.890.363
Steel Vintage Bikes Café,4,760,Berlin,Allemagne,3.755.251,4.890.363
Sadhu,5,351,Berlin,Allemagne,3.576.873,4.890.363
Vedis,5,1288,Berlin,Allemagne,3.576.873,4.890.363
Rokkasen Otakibashiidori,5,871,Tokyo,Japon,9.733.276,37.732.000
Teppanyaki Sumiyaki Saito,5,803,Tokyo,Japon,9.733.276,37.732.000
GYOPAO Gyoza Roppongi,5,3570,Tokyo,Japon,9.733.276,37.732.000
MAID MADE Akihabara Ekimae,5,351,Tokyo,Japon,9.733.276,37.732.000
Ise Sueyoshi,5,939,Tokyo,Japon,9.733.276,37.732.000
Gyopao Gyoza Shinjuku,5,1209,Tokyo,Japon,13.515.271,37.732.000
Premium Sake Pub Gashue,5,268,Tokyo,Japon,9.733.276,37.732.000
Ninja Experience Cafe Harajuku,5,413,Tokyo,Japon,9.733.276,37.732.000
Craft Beer Factory Shinjuku Ale,5,688,Tokyo,Japon,13.515.271,37.732.000
Lad's Dining Shinjuku,5,646,Tokyo,Japon,9.733.276,37.732.000
Gyopao Gyoza Shinjuku East,5,97,Tokyo,Japon,13.515.271,37.732.000
Nabezo Shibuya Center-gai,5,620,Tokyo,Japon,13.515.271,37.732.000
Shabu Shabu Tajimaya Haneda Airport Garden,5,320,Tokyo,Japon,13.515.271,37.732.000
Music Bar Rockaholic Shibuya,5,214,Tokyo,Japon,13.515.271,37.732.000
Lad's Dining Shibuya Udagawacho,5,103,Tokyo,Japon,9.733.276,37.732.000
Ninja Experience Cafe Asakusa,5,428,Tokyo,Japon,9.733.276,37.732.000
